Rep,Rep code
Rep. Jerry L. Carl , AL01
Rep. Barry Moore , AL02
Rep. Mike Rogers , AL03
Rep. Mo Brooks, AL05
Rep. Gary Palmer , AL06
Rep. Terri Sewell , AL07
Rep. Don Young , AK00
Rep. Ann Kirkpatrick , AZ02
Rep. Andy Biggs , AZ05
Rep. David Schweikert , AZ06
Rep. Ruben Gallego , AZ07
Rep. Debbie Lesko , AZ08
Rep. Rick Crawford , AR01
Rep. French Hill , AR02
Rep. Steve Womack , AR03
Rep. Bruce Westerman , AR04
Rep. Jared Huffman , CA02
Rep. Mike Thompson , CA05
Rep. Ami Bera , CA07
Rep. Jay Obernolte , CA08
Rep. Jerry McNerney , CA09
Rep. Josh Harder , CA10
Rep. Mark DeSaulnier , CA11
Rep. Nancy Pelosi , CA12
Rep. Jackie Speier , CA14
Rep. Eric Swalwell , CA15
Rep. Ro Khanna , CA17
Rep. Anna Eshoo , CA18
Rep. Zoe Lofgren , CA19
Rep. David G. Valadao , CA21
Rep. Salud Carbajal , CA24
Rep. Mike Garcia , CA25
Rep. Julia Brownley , CA26
Rep. Judy Chu , CA27
Rep. Adam Schiff , CA28
Rep. Tony Cardenas , CA29
Rep. Brad Sherman , CA30
Rep. Pete Aguilar , CA31
Rep. Grace Napolitano , CA32
Rep. Ted Lieu , CA33
Rep. Norma Torres , CA35
Rep. Young Kim , CA39
Rep. Mark Takano , CA41
Rep. Ken Calvert , CA42
Rep. Nanette Barragan , CA44
Rep. Katie Porter , CA45
"Rep. Jose ""Lou"" Correa ", CA46
Rep. Alan Lowenthal , CA47
Rep. Michelle Steel , CA48
Rep. Mike Levin , CA49
Rep. Scott Peters , CA52
Rep. Sara Jacobs , CA53
Rep. Joe Neguse , CO02
Rep. Jason Crow , CO06
Rep. John Larson , CT01
Rep. Joe Courtney , CT02
Rep. Rosa DeLauro , CT03
"Rep. James ""Jim"" Himes ", CT04
Rep. Jahana Hayes , CT05
Rep. Lisa Blunt Rochester , DE00
Rep. Eleanor Holmes Norton , DC00
Rep. Matt Gaetz , FL01
Rep. Neal Dunn , FL02
Rep. John Rutherford , FL04
Rep. Al Lawson , FL05
Rep. Stephanie Murphy , FL07
Rep. Darren Soto , FL09
Rep. Val Demings , FL10
Rep. Daniel Webster , FL11
Rep. Gus Bilirakis , FL12
Rep. Charlie Crist , FL13
Rep. Kathy Castor , FL14
Rep. C. Scott Franklin , FL15
Rep. Vern Buchanan , FL16
Rep. Byron Donalds , FL19
Rep. Lois Frankel , FL21
"Rep. Theodore ""Ted"" Deutch ", FL22
Rep. Debbie Wasserman Schultz , FL23
Rep. Mario Diaz,Balart , FL25
Rep. Carlos Gimenez , FL26
Rep. Maria Elvira Salazar , FL27
Rep. A. Drew Ferguson , GA03
